Source: https://algomaster.io/practice/dsa-patterns,,,,,
,,,,,
Topic,Title,LeetCode Link,Problem,Solved,Bookmark
K-Way Merge,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,,
K-Way Merge,Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,Smallest Range Covering Elements from K Lists,,
Data Structure Design,Design Browser History,https://leetcode.com/problems/design-browser-history,Design Browser History,,
Data Structure Design,Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,,
Data Structure Design,Snapshot Array,https://leetcode.com/problems/snapshot-array,Snapshot Array,,
Data Structure Design,Design Twitter,https://leetcode.com/problems/design-twitter,Design Twitter,,
Data Structure Design,LRU Cache,https://leetcode.com/problems/lru-cache,LRU Cache,,
Data Structure Design,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),,
Data Structure Design,Design a Food Rating System,https://leetcode.com/problems/design-a-food-rating-system,Design a Food Rating System,,
Data Structure Design,Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack,Maximum Frequency Stack,,
Greedy,Jump Game II,https://leetcode.com/problems/jump-game-ii,Jump Game II,,
Greedy,Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,Minimum Add to Make Parentheses Valid,,
Greedy,Gas Station,https://leetcode.com/problems/gas-station,Gas Station,,
Greedy,Task Scheduler,https://leetcode.com/problems/task-scheduler,Task Scheduler,,
Greedy,Minimum Cost to Hire K Workers,https://leetcode.com/problems/minimum-cost-to-hire-k-workers,Minimum Cost to Hire K Workers,,
Greedy,Candy,https://leetcode.com/problems/candy,Candy,,
Greedy,Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops,Minimum Number of Refueling Stops,,
Depth First Search (DFS),Number of Islands,https://leetcode.com/problems/number-of-islands,Number of Islands,,
Depth First Search (DFS),Time Needed to Inform All Employees,https://leetcode.com/problems/time-needed-to-inform-all-employees,Time Needed to Inform All Employees,,
Depth First Search (DFS),All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target,All Paths From Source to Target,,
Depth First Search (DFS),Clone Graph,https://leetcode.com/problems/clone-graph,Clone Graph,,
Depth First Search (DFS),Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite,Is Graph Bipartite?,,
Depth First Search (DFS),All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,All Nodes Distance K in Binary Tree,,
Depth First Search (DFS),Employee Importance,https://leetcode.com/problems/employee-importance,Employee Importance,,
Depth First Search (DFS),Surrounded Regions,https://leetcode.com/problems/surrounded-regions,Surrounded Regions,,
Depth First Search (DFS),Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow,Pacific Atlantic Water Flow,,
Depth First Search (DFS),Making A Large Island,https://leetcode.com/problems/making-a-large-island,Making A Large Island,,
Breadth First Search (BFS),Rotting Oranges,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,,
Breadth First Search (BFS),01 Matrix,https://leetcode.com/problems/01-matrix,01 Matrix,,
Breadth First Search (BFS),Open the Lock,https://leetcode.com/problems/open-the-lock,Open the Lock,,
Breadth First Search (BFS),Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,Shortest Path in a Grid with Obstacles Elimination,,
Breadth First Search (BFS),Bus Routes,https://leetcode.com/problems/bus-routes,Bus Routes,,
Breadth First Search (BFS),Word Ladder,https://leetcode.com/problems/word-ladder,Word Ladder,,
Topological Sort,Course Schedule II,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,,
Topological Sort,Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states,Find Eventual Safe States,,
Topological Sort,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees,Minimum Height Trees,,
Topological Sort,Sort Items by Groups Respecting Dependencies,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies,Sort Items by Groups Respecting Dependencies,,
Union Find,Number of Provinces,https://leetcode.com/problems/number-of-provinces,Number of Provinces,,
Union Find,Redundant Connection,https://leetcode.com/problems/redundant-connection,Redundant Connection,,
Union Find,Accounts Merge,https://leetcode.com/problems/accounts-merge,Accounts Merge,,
Union Find,Minimize Malware Spread,https://leetcode.com/problems/minimize-malware-spread,Minimize Malware Spread,,
Minimum Spanning Tree,Min Cost to Connect All Points,https://leetcode.com/problems/min-cost-to-connect-all-points,Min Cost to Connect All Points,,
Shortest Path,Network Delay Time,https://leetcode.com/problems/network-delay-time,Network Delay Time,,
Shortest Path,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,,
Shortest Path,Path with Maximum Probability,https://leetcode.com/problems/path-with-maximum-probability,Path with Maximum Probability,,
Shortest Path,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort,Path With Minimum Effort,,
Shortest Path,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water,Swim in Rising Water,,
Eulerian Circuit,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,,
Eulerian Circuit,Cracking the Safe,https://leetcode.com/problems/cracking-the-safe,Cracking the Safe,,
1-D DP,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,,
